year,month,subbasin_id,u2,tmin,tmax,rs,rh,eto,pr,station_id,flow_next_month,flow_next_month_max,flow_next_month_min
1998,1,24,0.6958706774556406,16.638272967393434,27.25942308203474,19.832829565659132,77.21796872165172,3.9598134910555527,251.4072302708735,58030000,22.9993928571,37.7042,10.6214
1998,2,24,0.6676843965932829,16.919047473721385,27.015311572182814,17.022876827896514,79.51349831271091,3.453941025228989,278.40401274801735,58030000,16.5632612903,30.1495,13.1513
1998,3,24,0.6033419209695562,16.07362147400463,26.305827952395067,16.29222758445517,78.70024311477194,3.1541238796763302,163.04797073710918,58030000,12.4266333333,20.3837,10.7456
1998,4,24,0.6628233970753655,13.924548071738842,24.714082257555873,14.19665354330709,78.44019497562805,2.545406824146981,58.21754465511903,58030000,11.3800354839,21.7782,9.3924
1998,5,24,0.6931492434413441,9.512968889825228,21.012067609327637,11.94230378460757,78.46982836822816,1.8401611088936463,80.39490951261936,58030000,9.34178,11.2452,8.7878
1998,6,24,0.6526996625421821,6.989623706778161,18.55080823185929,11.186574803149608,78.88076490438695,1.5317772778402698,18.905889636350114,58030000,8.4110322581,10.1267,7.7173
1998,7,24,0.6991363982727965,7.548659794423382,20.828602143974514,12.371577343154687,75.48532239921623,1.795112304510323,13.813767335603302,58030000,7.3271096774,7.9532,6.4427
1998,8,24,0.7682608222359301,11.023635108887088,21.82094593596823,13.205511811023623,76.48136724844878,2.204089408178816,16.02090953877808,58030000,8.2048333333,16.1661,6.4427
1998,9,24,0.937007874015748,11.937345500045778,21.469517095451724,14.328307086614174,77.0172478440195,2.5580802399700033,114.96954688733,58030000,12.6949741935,27.6489,7.5999
1998,10,24,1.0112848797126166,12.441918846360963,20.702984021099123,15.254876809753622,80.66693276243696,2.7819405638811276,237.27857731428392,58030000,10.47006,19.5547,7.5999
1998,11,24,0.9780652418447693,12.758232367931148,21.903693756930245,18.09015748031496,77.60967379077614,3.3387139107611543,128.05348586775017,58030000,12.9363419355,29.4102,7.9532
1998,12,24,0.8994339417250262,15.32385060894271,24.652787964287437,18.38430276860554,77.68605537211074,3.6173482346964687,194.92302795931442,58030000,28.0619354839,54.4706,10.4973
1999,1,24,0.8327588083747595,16.313910435065964,25.185267041880252,17.580772161544324,81.40534852498276,3.483145252004789,367.25669118320263,58030000,30.614978571400002,50.8387,16.5669
1999,2,24,0.7689217419251165,16.131975114335415,25.851335620768282,17.740987064116986,81.30724730837217,3.471958862285071,307.74919452933915,58030000,20.0606612903,33.5891,12.8943
1999,3,24,0.855618854094851,15.33204138309885,24.868740875211785,16.73959867919736,78.65851445988606,3.152708733988896,160.8172856837672,58030000,15.53953,25.4738,12.7661
1999,4,24,0.7778402699662542,12.344625181839453,23.380219936724956,15.053149606299213,76.94038245219348,2.59731908511436,53.035174762064585,58030000,11.9752451613,16.1661,10.4973
1999,5,24,0.8137087702746834,8.79881607872594,19.796800872632478,13.109232918465839,75.0426357995573,1.961156065169273,27.549058503982646,58030000,11.6056866667,16.5669,10.7456
1999,6,24,0.71681664791901,8.449425743380027,18.730460524307993,11.176102362204727,80.99737532808399,1.551274840644919,60.680715353862084,58030000,10.7137580645,11.4964,10.6214
1999,7,24,0.7535650785587285,8.804624440206856,19.01568454493457,11.996596393192789,79.67995935991871,1.7104394208788416,30.31141959026718,58030000,8.7829290323,10.6214,7.4827
1999,8,24,0.8096266192532385,6.916414724885482,20.224375035071677,15.538646177292355,70.35269784825284,2.3222540730795744,5.976941086197335,58030000,7.6942833333,10.1267,7.0172
1999,9,24,1.0089988751406074,9.79354228339488,21.962899665313678,16.968858267716538,69.24446944131982,2.90684289463817,52.01498458815268,58030000,6.947916129,8.0715,6.5569
1999,10,24,1.135926557567401,11.345949947675523,20.438004601403655,15.744958089916182,74.9355927283283,2.9036430930004715,41.77188286124102,58030000,7.44518,12.5104,5.8767
1999,11,24,1.0559617547806524,11.4764142785933,21.355540635395364,18.17692913385827,74.44131983502062,3.3309148856392947,122.90152548949509,58030000,10.4656774194,27.9411,6.3286999999999995
1999,12,24,1.0292463442069741,13.975995715595058,24.108219619069935,19.47160274320549,75.94433760296091,3.7515512173881485,213.5689652917351,58030000,22.9408709677,88.7578,11.1199
2000,1,24,1.0074748720926012,15.439505915176264,25.771813104647972,19.531686563373132,79.2935157298886,3.8487245545919655,327.9999694814905,58030000,19.9584965517,43.2756,12.1284
2000,2,24,0.8840813001823048,15.292977690969574,24.241888653744358,16.892017377138206,81.38357705286839,3.2566812769093514,212.43792753161932,58030000,15.0385064516,45.1742,11.1199
2000,3,24,0.853169563481984,14.533165251822004,23.39006986769734,14.991376682753367,81.80267789107006,2.810715192858957,146.1216424189842,58030000,12.0613833333,21.638,9.5141
